No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
1167,Trypsin,8.83,9002/7/7,O=C([C@@](C([H])([H])O[H])([H])N([H])C([C@@](C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])([H])N([H])C(OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=O)=O)N([H])[C@@](C(N([H])C2=C([H])C(OC3=O)=C(C([H])=C3[H])C(C([H])([H])[H])=C2[H])=O)([H])C([H])([H])C([H])([H])C([H])([H])/N=C(N([H])[H])/N([H])[H].O=C(C([H])([H])[H])O[H],7,,https://doi.org/10.2307/3573789,diol,Polyfunctional / highly functionalized
1168,Tryptamine,8.95,61-54-1,C1=CC=C2C(=C1)C(=CN2)CCN,12,,NIST,halogeneted,Halogenated organics
1169,Tryptamine,9.11,61-54-1,C1=CC=C2C(=C1)C(=CN2)CCN,8,,NIST,halogeneted,Halogenated organics
1170,Tryptamine,9.11,61-54-1,C1=CC=C2C(=C1)C(=CN2)CCN,8,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1171,Tryptamine,8.95,61-54-1,C1=CC=C2C(=C1)C(=CN2)CCN,12,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1172,Tryptophan,8.85,1954/12/6,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,7,,https://doi.org/10.2307/3573789,halogeneted,Halogenated organics
1173,Tryptophan,8.69,1954/12/6,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,11.4,,https://doi.org/10.1021/jp049063k,halogeneted,Halogenated organics
1174,Tryptophan,8.84,1954/12/6,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,7.4,,https://doi.org/10.1021/tx049747j,halogeneted,Halogenated organics
1175,Tryptophan,8.69,1954/12/6,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,11.4,,NIST,halogeneted,Halogenated organics
1176,Tryptophan,8.79,1954/12/6,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,9,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1177,Tryptophan,8.63,1954/12/6,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,12,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1178,Tryptophan,8.64,1954/12/6,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,11.2,,https://doi.org/10.2307/3573266,halogeneted,Halogenated organics
1179,Tryptophan methyl ester,8.98,4299-70-1,COC(=O)C(CC1=CNC2=CC=CC=C21)N,7,,NIST,alcohol,Oxygenated organics
1180,Tryptophan methyl ester,8.76,4299-70-1,COC(=O)C(CC1=CNC2=CC=CC=C21)N,11,,NIST,alcohol,Oxygenated organics
1181,Tryptophan methyl ester,8.98,4299-70-1,COC(=O)C(CC1=CNC2=CC=CC=C21)N,7,,https://doi.org/10.1021/j100614a007,alcohol,Oxygenated organics
1182,Tryptophan methyl ester,8.76,4299-70-1,COC(=O)C(CC1=CNC2=CC=CC=C21)N,11,,https://doi.org/10.1021/j100614a007,alcohol,Oxygenated organics
1183,Tryptophanamide,9.11,20696-57-5,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N,,,https://doi.org/10.1016/j.jhazmat.2025.137969,halogeneted,Halogenated organics
1184,Tryptophanamide,9.15,20696-57-5,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N,7,,NIST,halogeneted,Halogenated organics
1185,Tryptophanamide,8.9,20696-57-5,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N,9.5,,NIST,halogeneted,Halogenated organics
1186,Tryptophanamide,8.9,20696-57-5,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N,9.5,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1187,Tryptophanamide,9.11,20696-57-5,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N,,,https://doi.org/10.1016/j.jhazmat.2025.138144,halogeneted,Halogenated organics
1188,Tryptophanamide,8.15,20696-57-5,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)N)N,7,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1189,Tryptophanylglycine,8.85,7360-09-0,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)NCC(=O)O)N,,,https://doi.org/10.1016/j.jhazmat.2025.137946,halogeneted,Halogenated organics
1190,Tryptophanylglycine,8.85,7360-09-0,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)NCC(=O)O)N,6,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1191,Tryptophanylglycine,8.6,7360-09-0,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)NCC(=O)O)N,9,,https://doi.org/10.1021/j100614a007,halogeneted,Halogenated organics
1192,Tyrosinate,8.15,,C1=CC(=CC=C1CC(C(=O)[O-])N)[O-],,,https://doi.org/10.1016/S0891-5849(02)00786-4,halogeneted,Halogenated organics
1193,Tyrosine,8.46,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,11.2,,https://doi.org/10.1021/jp049063k,halogeneted,Halogenated organics
1194,Tyrosine,7.65,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,7,,https://doi.org/10.2307/3573789,halogeneted,Halogenated organics
1195,Tyrosine,8.46,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,11.2,,https://doi.org/10.2307/3573266,halogeneted,Halogenated organics
1196,Tyrosine,8.15,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,11,,https://doi.org/10.2307/3574180,halogeneted,Halogenated organics
1197,Tyrosine,7.65,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,,,https://doi.org/10.1016/j.freeradbiomed.2005.04.014,halogeneted,Halogenated organics
1198,Tyrosine,8.3,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,7,,https://doi.org/10.1016/j.chemosphere.2023.140660,halogeneted,Halogenated organics
1199,Tyrosine,7.65,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,7,,NIST,halogeneted,Halogenated organics
1200,Tyrosine,8.15,60-18-4,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,,,https://doi.org/10.1039/C6EM00580B,halogeneted,Halogenated organics
1201,U(IV),7.15,16089-60-4,[UH2+4],,,NIST,Others,Others / Unassigned
1202,Uracil,4.0,66-22-8,C1=CNC(=O)NC1=O,7,,https://doi.org/10.2307/3573789,cyclo,Aromatic & PAHs
1203,Uracil,4.0,66-22-8,C1=CNC(=O)NC1=O,11.5,,https://doi.org/10.1016/S0040-4020(01)91404-8,cyclo,Aromatic & PAHs
1204,Uracil,4.0,66-22-8,C1=CNC(=O)NC1=O,7,,NIST,cyclo,Aromatic & PAHs
1205,Uranyl ion,5.18,16637-16-4,O=[U+2]=O,,,NIST,amine,Nitrogen-containing organics
1206,Uranyl ion,5.18,16637-16-4,O=[U+2]=O,,,https://doi.org/10.1016/0047-2670(76)85023-X,amine,Nitrogen-containing organics
1207,Urate,9.11,69-93-2,C12=C(NC(=O)N1)NC(=O)NC2=O,7.4,,https://doi.org/10.1021/tx049747j,halogeneted,Halogenated organics
1208,Urate,9.23,69-93-2,C12=C(NC(=O)N1)NC(=O)NC2=O,,,https://doi.org/10.1016/j.freeradbiomed.2005.03.014,halogeneted,Halogenated organics
1209,Urea,3.0,57-13-6,C(=O)(N)N,11.6,,https://doi.org/10.1002/kin.550230606,halogeneted,Halogenated organics
1210,Urea,3.0,57-13-6,C(=O)(N)N,7,,https://doi.org/10.2307/3573789,halogeneted,Halogenated organics
1211,Vanillic acid,8.7,121-34-6,COC1=C(C=CC(=C1)C(=O)O)O,7,,https://doi.org/10.1016/j.watres.2019.06.002,diol,Polyfunctional / highly functionalized
1212,Vanillic acid,8.07,121-34-6,COC1=C(C=CC(=C1)C(=O)O)O,11.8,,https://doi.org/10.1021/es051236b,diol,Polyfunctional / highly functionalized
1213,Vanillic acid,8.7,121-34-6,COC1=C(C=CC(=C1)C(=O)O)O,,,https://doi.org/10.1016/j.jhazmat.2025.137948,diol,Polyfunctional / highly functionalized
1214,Vanillin,7.94,121-33-5,COC1=C(C=CC(=C1)C=O)O,7,,https://doi.org/10.1016/j.watres.2019.06.002,diol,Polyfunctional / highly functionalized
1215,Vanillin,7.95,121-33-5,COC1=C(C=CC(=C1)C=O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138793,diol,Polyfunctional / highly functionalized
1216,Vanillin,7.94,121-33-5,COC1=C(C=CC(=C1)C=O)O,,,https://doi.org/10.1016/j.jhazmat.2025.137949,diol,Polyfunctional / highly functionalized
1217,Vanillin,8.0,121-33-5,COC1=C(C=CC(=C1)C=O)O,8.3,,https://doi.org/10.1081/WCT-120018615,diol,Polyfunctional / highly functionalized
1218,Vanillin,9.04,121-33-5,COC1=C(C=CC(=C1)C=O)O,10.3,,https://doi.org/10.1081/WCT-120018615,diol,Polyfunctional / highly functionalized
1219,Vanillin,9.2,121-33-5,COC1=C(C=CC(=C1)C=O)O,13,,https://doi.org/10.1081/WCT-120018615,diol,Polyfunctional / highly functionalized
1220,Venlafaxine,7.36,93413-69-5,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,,,https://doi.org/10.1016/j.jhazmat.2025.138126,alcohol,Oxygenated organics
1221,Verapamil,8.26,52-53-9,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,7,,https://doi.org/10.1016/j.watres.2023.120968,diol,Polyfunctional / highly functionalized
1222,Verbenone,4.99,18309-32-5,CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C,,25.0,https://doi.org/10.1016/j.jhazmat.2025.137899,alkane,Aliphatic hydrocarbons
1223,Zinc(II) ion,4.0,23713-49-7,[Zn+2],4.7,,NIST,amine,Nitrogen-containing organics
1224,[5-(4-amino-2-oxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate,6.83,63-37-6,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,,,https://doi.org/10.1016/j.jhazmat.2025.138163,diol,Polyfunctional / highly functionalized
1225,Anthranilic acid,7.9,118-92-3,C1=CC=C(C(=C1)C(=O)O)N,,,https://doi.org/10.1016/j.chemosphere.2023.138793,halogeneted,Halogenated organics
1226,"anthrasemiquinone-2,6-disulfonate radical ion",9.18,853-68-9,[O-]S(C1=CC2=C(C=C1)C(C(C=C3S([O-])(=O)=O)=C(C=C3)C2=O)=O)(=O)=O.[Na+].[Na+],,,https://doi.org/10.1039/C29710001559,diol,Polyfunctional / highly functionalized
1227,"anthrasemiquinone-2,7-disulfonate radical ion",9.28,853-67-8,[O-]S(C1=CC2=C(C=C1)C(C(C=C3S([O-])(=O)=O)=C(C=C3)C2=O)=O)(=O)=O.[Na+].[Na+],,,https://doi.org/10.1063/1.555808,diol,Polyfunctional / highly functionalized
1228,benzocaine,8.3,1994/9/7,CCOC(=O)C1=CC=C(C=C1)N,,,https://doi.org/10.1016/j.jhazmat.2025.138130,alcohol,Oxygenated organics
1229,benzocaine,8.3,1994/9/7,CCOC(=O)C1=CC=C(C=C1)N,8.5,,https://doi.org/10.1007/BF02841982,alcohol,Oxygenated organics
1230,benzocaine,8.3,1994/9/7,CCOC(=O)C1=CC=C(C=C1)N,,,https://doi.org/10.1016/j.chemosphere.2023.138793,alcohol,Oxygenated organics
1231,bicarbonate ion,6.93,71-52-3,C(=O)(O)[O-],,,https://doi.org/10.1021/acs.est.5b03078,halogeneted,Halogenated organics
1232,bis (ethan-2-ol) selenide,8.81,27974-49-8,OCC[Se]CCO,7,,https://doi.org/10.1039/C9NJ02227A,"sulfide, disulfide",Sulfur-containing organics
1233,but-2-enoic acid,3.89,3724-65-0,CC=CC(=O)O,,,https://doi.org/10.1016/j.jhazmat.2025.138022,alkane,Aliphatic hydrocarbons
1234,but-2-enoic acid,3.89,3724-65-0,CC=CC(=O)O,,25.0,https://doi.org/10.1016/j.jhazmat.2025.137899,alkane,Aliphatic hydrocarbons
1235,carbonate ion,8.59,3812-32-6,C(=O)([O-])[O-],,,https://doi.org/10.1021/acs.est.5b03078,halogeneted,Halogenated organics
1236,cationic fluoxetine,6.87,56296-78-7,FC(F)(F)C(C=C1)=CC=C1OC(C2=CC=CC=C2)CCNC.Cl,,,https://doi.org/10.1016/j.jhazmat.2024.135538,alcohol,Oxygenated organics
1237,chloride ion,9.63,16887-00-6,[Cl-],,,https://doi.org/10.1021/acs.est.5b03078,halogeneted,Halogenated organics
1238,cis-Bis(glycinato)platinum(II),9.64,6922-38-9,C(C(=O)[O-])N.C(C(=O)[O-])N.[Pt+2],8.5,,https://doi.org/10.1016/0146-5724(77)90013-9,phosphorus,Phosphorus-containing organics
1239,cyclopentanol,4.46,96-41-3,C1CCC(C1)O,,25.0,https://doi.org/10.1016/j.jhazmat.2025.137899,halogeneted,Halogenated organics
1240,glycolic acid,3.77,79-14-1,C(C(=O)O)O,,,https://doi.org/10.1016/j.jhazmat.2025.138015,halogeneted,Halogenated organics
1241,glycolic acid,3.77,79-14-1,C(C(=O)O)O,,25.0,https://doi.org/10.1016/j.jhazmat.2025.137899,halogeneted,Halogenated organics
1242,hydroxide ion,10.11,14280-30-9,[OH-],,,https://doi.org/10.1021/acs.est.5b03078,alcohol,Oxygenated organics
1243,methyl 2-(2-methoxy-2-oxoethyl)sulfanylacetate,6.88,16002-29-2,COC(=O)CSCC(=O)OC,,,https://doi.org/10.1016/j.jhazmat.2025.138027,diol,Polyfunctional / highly functionalized
1244,methyl 2-methylprop-2-enoate,4.74,114512-63-9,CC(=C)C(=O)OC,,,https://doi.org/10.1016/j.jhazmat.2025.138028,alcohol,Oxygenated organics
1245,methyl 4-aminobenzoate,8.38,619-45-4,COC(=O)C1=CC=C(C=C1)N,,,https://doi.org/10.1021/acs.est.6b00924,alcohol,Oxygenated organics
1246,n-Butylamine,5.6,109-73-9,CCCCN,10.5,,https://doi.org/10.1063/1.555808,alkane,Aliphatic hydrocarbons
1247,n-Butylamine,5.6,109-73-9,CCCCN,11.5,,https://doi.org/10.1016/S0040-4020(01)91404-8,alkane,Aliphatic hydrocarbons
1248,n-Butylamine,5.6,109-73-9,CCCCN,11.5,,https://doi.org/10.1016/j.scitotenv.2020.137219,alkane,Aliphatic hydrocarbons
1249,neutral fluoxetine,8.41,54910-89-3,FC(F)(F)C(C=C1)=CC=C1OC(C2=CC=CC=C2)CCNC,,,https://doi.org/10.1016/j.jhazmat.2024.135538,alcohol,Oxygenated organics
1250,nitrate ion,7.94,14797-55-8,[N+](=O)([O-])[O-],,,https://doi.org/10.1021/acs.est.5b03078,amine,Nitrogen-containing organics
1251,nitric oxide radical,9.54,10102-43-9,[N]=O,,,NIST,amine,Nitrogen-containing organics
1252,nitrogen dioxide radical,9.0,10102-44-0,[O-][N+]=O,11,,NIST,amine,Nitrogen-containing organics
1253,nitrogen dioxide radical,9.0,10102-44-0,[O-][N+]=O,,,NIST,amine,Nitrogen-containing organics
1254,o-Methoxy-phenoxyacetic acid,6.86,1878-85-9,OC(COC1=CC=CC=C1OC)=O,12,,https://doi.org/10.1081/WCT-120018615,alcohol,Oxygenated organics
1255,o-Methoxy-phenoxyacetic acid,6.85,1878-85-9,OC(COC1=CC=CC=C1OC)=O,8,,https://doi.org/10.1081/WCT-120018615,alcohol,Oxygenated organics
1256,p-Bromoaniline,8.58,106-40-1,C1=CC(=CC=C1N)Br,,,https://doi.org/10.1016/j.chemosphere.2023.138793,halogeneted,Halogenated organics
1257,p-Coumarate,8.66,693218-34-7,C1=CC(=CC=C1/C=C/C(=O)O)O,7,,https://doi.org/10.1016/j.watres.2019.06.002,halogeneted,Halogenated organics
1258,p-Coumaric acid,8.66,7400-08-0,C1=CC(=CC=C1/C=C/C(=O)O)O,,,https://doi.org/10.1016/j.watres.2019.06.002,halogeneted,Halogenated organics
1259,p-Coumaric acid,8.66,7400-08-0,C1=CC(=CC=C1/C=C/C(=O)O)O,,,https://doi.org/10.1016/j.chemosphere.2023.138793,halogeneted,Halogenated organics
1260,p-Coumaric acid,8.66,7400-08-0,C1=CC(=CC=C1/C=C/C(=O)O)O,,,https://doi.org/10.3390/w15081615,halogeneted,Halogenated organics
1261,p-Fluoroaniline,8.79,371-40-4,C1=CC(=CC=C1N)F,,,https://doi.org/10.1016/j.chemosphere.2023.138793,halogeneted,Halogenated organics
1262,p-Hydroxybenzaldehyde,6.67,123-08-0,C1=CC(=CC=C1C=O)O,,25.0,https://doi.org/10.1016/j.jhazmat.2025.137899,halogeneted,Halogenated organics
1263,p-Hydroxybenzaldehyde,6.67,123-08-0,C1=CC(=CC=C1C=O)O,,,https://doi.org/10.1016/j.jhazmat.2025.137973,halogeneted,Halogenated organics
1264,p-Nitroaniline,7.86,100-01-6,C1=CC(=CC=C1N)[N+](=O)[O-],8.5,,NIST,halogeneted,Halogenated organics
1265,p-Xylene,4.58,106-42-3,CC1=CC=C(C=C1)C,9,,https://doi.org/10.1016/j.chemosphere.2023.140660,alkane,Aliphatic hydrocarbons
1266,p-Xylene,4.58,106-42-3,CC1=CC=C(C=C1)C,9,,https://doi.org/10.1016/j.scitotenv.2020.137219,alkane,Aliphatic hydrocarbons
1267,para-Chlorobenzoic Acid,7.11,1974/11/3,C1=CC(=CC=C1C(=O)O)Cl,,,https://doi.org/10.1016/j.watres.2015.02.014,halogeneted,Halogenated organics
1268,perhydroxyl radical,7.48,,O[O-],,,https://doi.org/10.1016/1359-0197(91)90100-G,phosphorus,Phosphorus-containing organics
1269,phosphate ion,7.0,14265-44-2,[O-]P(=O)([O-])[O-],,,https://doi.org/10.1021/acs.est.5b03078,phosphorus,Phosphorus-containing organics
1270,prop-2-enoic acid,3.92,90598-46-2,C=CC(=O)O,,,https://doi.org/10.1016/j.jhazmat.2025.138016,halogeneted,Halogenated organics
1271,tert-Butylamine,4.76,75-64-9,CC(C)(C)N,,,https://doi.org/10.1039/C3EM00479A,alkane,Aliphatic hydrocarbons
1272,tert-Butylamine,4.76,75-64-9,CC(C)(C)N,11.5,,https://doi.org/10.1016/S0040-4020(01)91404-8,alkane,Aliphatic hydrocarbons
1273,trans-Bis(glycinato)platinum(II),9.53,15685-00-4,O=C1[O-][Pt+2]([O-]C2=O)(NC2)NC1,8.5,,https://doi.org/10.1016/0146-5724(77)90013-9,cyclo,Aromatic & PAHs
1274,trans-Diglycinatoplatinum(II),9.53,15685-00-4,O=C1[O-][Pt+2]([O-]C2=O)(NC2)NC1,8.5,,NIST,cyclo,Aromatic & PAHs
1275,α-Lipoic acid,9.2,62-46-4,O=C(O)CCCCC1SSCC1,,,https://doi.org/10.1016/j.freeradbiomed.2005.03.014,"sulfide, disulfide",Sulfur-containing organics
1276,Hydroquinone dimethyl ether,7.48,150-78-7,COC1=CC=C(C=C1)OC,,,https://doi.org/10.1002/(SICI)1521-401X(199907)27:4%3C214::AID-AHEH214%3E3.0.CO;2-6,diol,Polyfunctional / highly functionalized
1277,4-Methylanisole,5.99,104-93-8,CC1=CC=C(C=C1)OC,,,https://doi.org/10.1002/(SICI)1521-401X(199907)27:4%3C214::AID-AHEH214%3E3.0.CO;2-6,alcohol,Oxygenated organics
