No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Pubchem_cid,Chemical_class_27,Chemical_class_coarse
1,4-Nitrophenol ,6.4,100-02-7 ,O=[N+] ([O-]) c1ccc(O)cc1 ,8.8,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
2,4-Nitrophenol ,6.48,100-02-7 ,O=[N+] ([O-]) c1ccc(O)cc1 ,10,,https://doi.org/10.1080/02772249009357622,,benzene,Aromatic & PAHs
3,Microcystin YR ,8.01,101064-48-6 ,[H]/N=C (\N) NCCC····(C(=O) O) N[C@H]1Cc1ccc(O)cc1 ,11.6,,https://doi.org/10.1021/acs.est.1c04194,,benzene,Aromatic & PAHs
4,Methionine methyl ,6.85,10332-17-9 ,COC(=O) [C@@H] (N)CCSC ,7,,https://doi.org/10.1111/j.1751-1097.1993.tb02317.x,,"sulfide, disulfide",Sulfur-containing organics
5,Imazapic ,5.79,104098-48-8 ,Cc1cnc(C2=N[C@@] (C)(C(C)C) C(=O) N2) c(C(=O) O) c1 ,7,,https://doi.org/10.1016/j.scitotenv.2022.160473,,cyclo,Aromatic & PAHs
6,mesotrione ,5.84,104206-82-8 ,CS(=O) (=O) c1ccc(C(=O) C2C(=O) CCCC2=O) c([N+] (=O) [O-]) c1 ,8.51,,https://doi.org/10.1021/es3030808,,"sulfide, disulfide",Sulfur-containing organics
7,"2,4-dimethylphenol ",6.36,105-67-9 ,Cc1ccc(O)c(C)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
8,carbendazim ,6.3,10605-21-7 ,COC(=O) Nc1nc2ccccc2[nH]1 ,6,,https://doi.org/10.1016/j.chemosphere.2006.02.057,,alcohol,Oxygenated organics
9,4-bromophenol ,8.18,106-41-2 ,Oc1ccc (Br)cc1 ,11,,https://doi.org/10.1139/v93-160,,alcohol,Oxygenated organics
10,p-Cresol ,7.04,106-44-5 ,Cc1ccc(O)cc1 ,8.3,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
11,p-Cresol ,7.38,106-44-5 ,Cc1ccc(O)cc1 ,8.8,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
12,p-Cresol ,8.2,106-44-5 ,Cc1ccc(O)cc1 ,10,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
13,p-Cresol ,8.54,106-44-5 ,Cc1ccc(O)cc1 ,11.5,,https://doi.org/10.1016/0045-6535(87)90004-X,,benzene,Aromatic & PAHs
14,p-Cresol ,8.55,106-44-5 ,Cc1ccc(O)cc1 ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
15,4-chlorophenol ,8.0,106-48-9 ,Oc1ccc (Cl)cc1 ,11,,https://doi.org/10.1139/v93-160,,alcohol,Oxygenated organics
16,"2,5-dihydroxy biphenyl ",7.38,1079-21-6 ,Oc1ccc(O)c(-c2ccccc2) c1 ,8,,https://doi.org/10.1016/0045-6535(93)90113-J,,alcohol,Oxygenated organics
17,3-methylphenol ,7.26,108-39-4 ,Cc1cccc(O)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
18,3-methylphenol ,8.31,108-39-4 ,Cc1cccc(O)c1 ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
19,3-chlorophenol ,6.52,108-43-0 ,Oc1cccc (Cl)c1 ,3,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
20,3-chlorophenol ,7.18,108-43-0 ,Oc1cccc (Cl)c1 ,11.5,,https://doi.org/10.1080/02772249009357622,,alcohol,Oxygenated organics
21,3-chlorophenol ,8.17,108-43-0 ,Oc1cccc (Cl)c1 ,12,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
22,Phenol ,6.4,108-95-2 ,Oc1ccccc1 ,8,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
23,Phenol ,7.28,108-95-2 ,Oc1ccccc1 ,9,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
24,Phenol ,7.66,108-95-2 ,Oc1ccccc1 ,9.5,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
25,Phenol ,7.95,108-95-2 ,Oc1ccccc1 ,10,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
26,Phenol ,8.26,108-95-2 ,Oc1ccccc1 ,11.5,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
27,3-Hydroxypyridine ,7.41,109-00-2 ,Oc1cccnc1 ,7,,https://doi.org/10.1016/S1010-6030(99)00115-X,,alcohol,Oxygenated organics
28,3-Hydroxypyridine ,8.41,109-00-2 ,Oc1cccnc1 ,11,,https://doi.org/10.1016/S1010-6030(99)00115-X,,alcohol,Oxygenated organics
29,allylthiourea ,6.6,109-57-9 ,C=CCNC(N)=S ,7.1,,https://doi.org/10.1111/j.1751-1097.1978.tb07557.x,,"sulfide, disulfide",Sulfur-containing organics
30,pyrrole ,8.7,109-97-7 ,c1cc[nH]c1 ,7,,https://doi.org/10.1021/acs.est.9b03948,,cyclo,Aromatic & PAHs
31,2-methyl-3-hydroxypyridine ,7.72,1121-25-1 ,Cc1ncccc1O ,7,,https://doi.org/10.1016/S1010-6030(99)00115-X,,cyclo,Aromatic & PAHs
32,2-methyl-3-hydroxypyridine ,8.45,1121-25-1 ,Cc1ncccc1O ,11,,https://doi.org/10.1016/S1010-6030(99)00115-X,,cyclo,Aromatic & PAHs
33,glycyl-tyrosyl-alanine ,8.0,112898-27-8 ,C[C@H] (NC(=O) [C@H] (Cc1ccc(O)cc1) NC(=O) CN) C(=O) O ,11.5,,https://doi.org/10.1007/bf00805805,,halogeneted,Halogenated organics
34,"7,8-dihydroxanthopterin ",8.88,1131-35-7 ,Nc1nc2c(c(=O) [nH]1) NC(=O) CN2 ,7,,https://doi.org/10.1021/jp071278h,,halogeneted,Halogenated organics
35,2-methyl-3-butene-2-ol ,5.9,115-18-4 ,C=CC(C)(C) O ,5.1,,https://doi.org/10.1021/es503656m,,halogeneted,Halogenated organics
36,Succinylsulfathiazole ,8.06,116-43-8 ,O=C(O)CCC(=O) Nc1ccc(S(=O) (=O) Nc2nccs2) cc ,12,,https://doi.org/10.1016/S0143-7208(00)00010-3,,"sulfide, disulfide",Sulfur-containing organics
37,Succinylsulfathiazole ,5.78,116-43-8 ,O=C(O)CCC(=O) Ncccc1 (S(=O) (=O) Nc2nccs2) cc ,6,,https://doi.org/10.1016/S0143-7208(00)00010-3,,"sulfide, disulfide",Sulfur-containing organics
38,"2,4,6-tribromophenol ",6.43,118-79-6 ,Oc1c(Br)cc (Br)cc1Br ,3,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
39,"2,4,6-tribromophenol ",7.92,118-79-6 ,Oc1c(Br)cc (Br)cc1Br ,12,,https://doi.org/10.1039/C6EM00580B,,alcohol,Oxygenated organics
40,pteroic acid ,7.08,119-24-4 ,Nc1nc2ncc (CNc3ccc(C(=O) O) cc) nc2c(=O) [nH]1 ,10.5,,https://doi.org/10.1562/2006-09-15-ra-1041,,cyclo,Aromatic & PAHs
41,2-nitro-4-methylphenolate ,7.45,119-33-5 ,Cc1ccc(O)c([N+] (=O) [O-]) c1 ,10,,https://doi.org/10.1080/02772249009357622,,cyclo,Aromatic & PAHs
42,Indole ,7.64,120-72-9 ,c1ccc2[nH]ccc2c1 ,7.5,,https://doi.org/10.1039/C5EM00045A,,cyclo,Aromatic & PAHs
43,"2,4-Dichlorophenol ",6.3,120-83-2 ,Oc1ccc (Cl)cc1Cl ,6,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
44,"2,4-Dichlorophenol ",7.0,120-83-2 ,Oc1ccc (Cl)cc1Cl ,6.6,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
45,"2,4-Dichlorophenol ",7.18,120-83-2 ,Oc1ccc (Cl)cc1Cl ,7,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
46,"2,4-Dichlorophenol ",7.88,120-83-2 ,Oc1ccc (Cl)cc1Cl ,7.9,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
47,"2,4-Dichlorophenol ",8.08,120-83-2 ,Oc1ccc (Cl)cc1Cl ,9,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
48,"2,4-Dichlorophenol ",8.08,120-83-2 ,Oc1ccc (Cl)cc1Cl ,9.6,,https://doi.org/10.1016/0045-6535(87)90004-X,,alcohol,Oxygenated organics
49,vanillin ,6.66,121-33-5 ,COc1cc(C=O) ccc1O ,5,,https://doi.org/10.1016/j.watres.2023.120586,,alcohol,Oxygenated organics
50,"7,8-dihydroneopterin ",8.62,1218-98-0 ,Nc1nc2c(c(=O) [nH]1) N=C([C@H] (O)[C@H] (O)CO) CN2 ,7,,https://doi.org/10.1021/jp071278h,,halogeneted,Halogenated organics
51,maleic hydrazide ,7.18,123-33-1 ,O=c1ccc(=O) [nH][nH]1 ,7,,https://doi.org/10.1016/j.jphotobiol.2014.04.002,,halogeneted,Halogenated organics
52,maleic hydrazide ,8.08,123-33-1 ,O=c1ccc(=O) [nH][nH]1 ,9,,https://doi.org/10.1016/j.jphotobiol.2014.04.002,,halogeneted,Halogenated organics
53,Sulfisoxazole ,7.74,127-69-5 ,Cc1noc (NS(=O) (=O) c2ccc(N)cc2) c1C ,10.2,,https://doi.org/10.1021/es0353053,,alcohol,Oxygenated organics
54,Sulfamerazine ,6.96,127-79-7 ,Cc1ccnc (NS(=O) (=O) c2ccc(N)cc2) n1 ,8,,https://doi.org/10.1021/es048331p,,benzene,Aromatic & PAHs
55,rhamnopterin ,6.38,13392-24-0 ,C[C@@H] (O)[C@H] (O)[C@H] (O)c1cnc2nc(N)[nH]c(=O) c2n1 ,10.5,,https://doi.org/10.1562/2006-09-15-ra-1041,,cyclo,Aromatic & PAHs
56,lamivudine ,5.72,134678-17-4 ,Nc1ccn([C@@H]2CS[C@H] (CO)O2) c(=O) n1 ,7,,https://doi.org/10.1016/j.chemosphere.2015.08.033,,nitro,Nitrogen-containing organics
57,2-hydroxynaphthalene ,6.93,135-19-3 ,Oc1ccc2ccccc2c1 ,7,,https://doi.org/10.1016/S1010-6030(99)00172-0,,alcohol,Oxygenated organics
58,2-hydroxynaphthalene ,8.4,135-19-3 ,Oc1ccc2ccccc2c1 ,11,,https://doi.org/10.1016/S1010-6030(99)00172-0,,alcohol,Oxygenated organics
59,Pindolol ,8.06,13523-86-9 ,CC(C) ···c1cccc2[nH]ccc12 ,6,,https://doi.org/10.1039/b203359c,,cyclo,Aromatic & PAHs
60,Tolfenamic acid ,7.11,13710-19-5 ,Cc1c(Cl)cccc1Nc1ccccc1C(=O) O ,7.5,,https://doi.org/10.1039/c7em00079k,,benzene,Aromatic & PAHs
61,Imidacloprid ,6.58,138261-41-3 ,O=[N+] ([O-])/N=C1\NCCN1Cc1ccc (Cl)nc1 ,7,,https://doi.org/10.1016/j.cej.2023.145636,,cyclo,Aromatic & PAHs
62,Gentamycin ,5.42,1403-66-3 ,C[C@@H] ([C@@H]1CC[C@H] ···(CO3) (C)O) NC) O) N) N) N) NC ,7,,https://doi.org/10.1021/acs.est.5b05234,,halogeneted,Halogenated organics
63,zeaxanthin ,9.77,144-68-3 ,CC1=C(/C=C/C(C)···(O)CC2(C) C) C(C)(C) C[C@H] (O)C1 ,7.4,,https://doi.org/10.1021/acs.jafc.6b04329,,cyclo,Aromatic & PAHs
64,8-hydroxyquinoline ,6.9,148-24-3 ,Oc1cccc2cccnc12 ,6,,https://doi.org/10.1016/S1010-6030(98)00394-3,,alcohol,Oxygenated organics
65,8-hydroxyquinoline ,8.23,148-24-3 ,Oc1cccc2cccnc12 ,11,,https://doi.org/10.1016/S1010-6030(98)00394-3,,alcohol,Oxygenated organics
66,4-methoxyphenol ,7.72,150-76-5 ,COc1ccc(O)cc1 ,7.6,,https://doi.org/10.1562/2006-09-15-ra-1041,,alcohol,Oxygenated organics
67,"2,4-diaminoprimidine cation ",6.48,156-81-0 ,Nc1ccnc(N)n1 ,6,,https://doi.org/10.1016/j.watres.2011.12.052,,halogeneted,Halogenated organics
68,bisphenol AP ,7.34,1571-75-1 ,CC(c1ccccc1) (c1ccc(O)cc1) c1ccc(O)cc1 ,12,,https://doi.org/10.1039/C6EM00580B,,benzene,Aromatic & PAHs
69,Alachlor ,5.52,15972-60-8 ,CCc1cccc (CC)c1N(COC)C(=O) CCl ,8.51,,https://doi.org/10.1021/es3030808,,cyclo,Aromatic & PAHs
70,4-methyl-indole ,8.09,16096-32-5 ,Cc1cccc2[nH]ccc12 ,6,,https://doi.org/10.1039/b203359c,,cyclo,Aromatic & PAHs
71,Anabaenopeptin B ,7.98,161897-74-1 ,[H]/N=C(\N) NCCC···[C@H] (C(C)C) NC1=O) C(=O) O ,11.6,,https://doi.org/10.1021/acs.est.1c04194,,halogeneted,Halogenated organics
72,2-amino-3-hydroxypyridine ,8.13,16867-03-1 ,Nc1ncccc1O ,7,,https://doi.org/10.1016/S1010-6030(99)00115-X,,cyclo,Aromatic & PAHs
73,2-amino-3-hydroxypyridine ,8.46,16867-03-1 ,Nc1ncccc1O ,11,,https://doi.org/10.1016/S1010-6030(99)00115-X,,cyclo,Aromatic & PAHs
74,Clopyralid ,5.85,1702-17-6 ,O=C(O)c1nc (Cl)ccc1Cl ,8.51,,https://doi.org/10.1021/es3030808,,cyclo,Aromatic & PAHs
75,"2,2'--dihydroxy biphenyl ",7.34,1806-29-7 ,Oc1ccccc1-c1ccccc1O ,11,,https://doi.org/10.1016/0045-6535(93)90113-J,,alcohol,Oxygenated organics
76,Atrazine ,5.3,1912-24-9 ,CCNc1nc (Cl)nc(NC(C)C)n1 ,8.51,,https://doi.org/10.1021/es3030808,,alkane,Aliphatic hydrocarbons
77,metoxuron ,6.04,19937-59-8 ,COc1ccc (NC(=O) N(C)C) cc1Cl ,8.51,,https://doi.org/10.1021/es3030808,,alcohol,Oxygenated organics
78,2-chlorobiphenyl ,6.05,2051-60-7 ,Clc1ccccc1-c1ccccc1 ,7.92,,https://doi.org/10.1007/s11356-021-17010-7,,benzene,Aromatic & PAHs
79,Coniferyl aldehyde ,7.03,20649-42-7 ,COc1cc(/C=C/C=O) ccc1O ,5,,https://doi.org/10.1016/j.watres.2023.120586,,alcohol,Oxygenated organics
80,Daunomycin ,7.2,20830-81-3 ,COc1cccc2c1C(=O) c1c(O)c3c(c(O)c1C2=O) C···(C)O1 ,7.8,,https://doi.org/10.1016/0009-2614(89)87490-1,,diol,Polyfunctional / highly functionalized
81,Cyanazine ,5.23,21725-46-2 ,CCNc1nc (Cl)nc(NC(C)(C)CN)n1 ,8.51,,https://doi.org/10.1021/es3030808,,alkane,Aliphatic hydrocarbons
82,Nicotin ,6.53,22083-74-5 ,CN1CCC[C@@H]1c1cccnc1 ,7,,https://doi.org/10.1016/j.watres.2014.02.016,,cyclo,Aromatic & PAHs
83,naproxen ,6.82,22204-53-1 ,COc1ccc2cc([C@H] (C)C(=O) O) ccc2c1 ,7,,https://doi.org/10.1016/j.chemosphere.2017.08.110,,alcohol,Oxygenated organics
84,naproxen ,6.95,22204-53-1 ,COc1ccc2cc([C@H] (C)C(=O) O) ccc2c1 ,5,,https://doi.org/10.1016/j.chemosphere.2017.08.110,,alcohol,Oxygenated organics
85,naproxen ,7.15,22204-53-1 ,COc1ccc2cc([C@H] (C)C(=O) O) ccc2c1 ,3,,https://doi.org/10.1016/j.chemosphere.2017.08.110,,alcohol,Oxygenated organics
86,pterin ,5.4,2236-60-4 ,Nc1nc2nccnc2c(=O) [nH]1 ,10.5,,https://doi.org/10.1562/2006-09-15-ra-1041,,cyclo,Aromatic & PAHs
87,diflunisal ,6.28,22494-42-4 ,O=C(O)c1cc(-c2ccc(F)cc2F) ccc1O ,7,,https://doi.org/10.1111/php.12114,,cyclo,Aromatic & PAHs
88,Terbutaline ,6.85,23031-25-6 ,CC(C)(C) NC [C@H] (O)c1cc(O)cc(O)c1 ,7,,https://doi.org/10.1016/j.watres.2013.08.029,,benzene,Aromatic & PAHs
89,Adriamycin ,7.18,23214-92-8 ,COc1cccc2c1C(=O) c1c(O)c3c(c(O)c1C2=O) ···(C)O1 ,7.8,,https://doi.org/10.1016/0009-2614(89)87490-1,,diol,Polyfunctional / highly functionalized
90,tyrosyl-glycine ,7.63,23514-44-5 ,NCC(=O) N [C@@H] (Cc1ccc(O)cc1) C(=O) O ,7,,https://doi.org/10.1016/1011-1344(91)80212-Z,,halogeneted,Halogenated organics
91,"2,6-dimethyl-4-bromophenol ",8.59,2374/5/2,Cc1cc (Br)cc(C)c1O ,11,,https://doi.org/10.1002/prac.19943360310,,cyclo,Aromatic & PAHs
92,4-hydroxyindole ,8.16,2380-94-1 ,Oc1cccc2[nH]ccc12 ,6,,https://doi.org/10.1039/b203359c,,alcohol,Oxygenated organics
93,"2,2,6,6-tetramethylpiperidin-4-ol ",7.6,2403-88-5 ,CC1(C)CC(O)CC(C) (C)N1 ,8,,https://doi.org/10.1111/j.1751-1097.1980.tb02545.x,,alkane,Aliphatic hydrocarbons
94,glycyl-L-histidine ,7.92,2489-13-6 ,NCC(=O) N [C@@H] (Cc1c[nH]cn1) C(=O) O ,7,,https://doi.org/10.1111/j.1751-1097.1993.tb02317.x,,halogeneted,Halogenated organics
95,L-histidylglycine ,7.82,2578-58-7 ,N[C@@H] (Cc1c[nH]cn1) C(=O) NCC(=O) O ,7,,https://doi.org/10.1111/j.1751-1097.1993.tb02317.x,,halogeneted,Halogenated organics
96,4-HOBt ,8.12,26725-51-9 ,Oc1cccc2nn[nH]c12 ,7.5,,https://doi.org/10.1039/C5EM00045A,,alcohol,Oxygenated organics
97,Timolol ,7.79,26839-75-8 ,CC(C)(C) NC[C@H] (O)COc1nsnc1N1CCOCC1 ,6,,https://doi.org/10.1016/j.jhazmat.2013.02.035,,diol,Polyfunctional / highly functionalized
98,Timolol ,7.11,26839-75-8 ,CC(C)(C) NC[C@H] (O)COc1nsnc1N1CCOCC1 ,7,,https://doi.org/10.1016/j.jhazmat.2013.02.035,,diol,Polyfunctional / highly functionalized
99,Timolol ,6.81,26839-75-8 ,CC(C)(C) NC[C@H] (O)COc1nsnc1N1CCOCC1 ,8,,https://doi.org/10.1016/j.jhazmat.2013.02.035,,diol,Polyfunctional / highly functionalized
100,Timolol ,7.23,26839-75-8 ,CC(C)(C) NC[C@H] (O)COc1nsnc1N1CCOCC1 ,9,,https://doi.org/10.1016/j.jhazmat.2013.02.035,,diol,Polyfunctional / highly functionalized
101,Timolol ,7.67,26839-75-8 ,CC(C)(C) NC[C@H] (O)COc1nsnc1N1CCOCC1 ,10,,https://doi.org/10.1016/j.jhazmat.2013.02.035,,diol,Polyfunctional / highly functionalized
102,"1,4-diazabicyclo [2.2.2] octane ",8.45,280-57-9 ,C1CN2CCN1CC2 ,8,,https://doi.org/10.1111/j.1751-1097.1980.tb02545.x,,halogeneted,Halogenated organics
103,imidazole ,7.57,288-32-4 ,c1c[nH]cn1 ,7.1,,https://doi.org/10.1111/j.1751-1097.1978.tb06973.x,,halogeneted,Halogenated organics
104,imidazole ,7.53,288-32-4 ,c1c[nH]cn1 ,7,,https://doi.org/10.1021/acs.est.1c01712,,halogeneted,Halogenated organics
105,2-benzylphenol ,7.64,28994-41-4 ,Oc1ccccc1Cc1ccccc1 ,11,,https://doi.org/10.1016/0045-6535(93)90113-J,,alcohol,Oxygenated organics
106,Chlorpyrifos ,6.28,2921-88-2 ,CCOP(=S) (OCC)Oc1nc (Cl)c(Cl)cc1Cl ,8.51,,https://doi.org/10.1021/es3030808,,alcohol,Oxygenated organics
107,zidovudine ,4.83,30516-87-1 ,Cc1cn([CH]2C[CH] (N=[N+] =[N-]) [CH] (CO)O2) c(=O) [nH]c1=O ,7,,https://doi.org/10.1016/j.chemosphere.2015.08.033,,cyclo,Aromatic & PAHs
108,Carnosine ,8.11,305-84-0 ,NCCC(=O) N[C@@H] (Cc1c[nH]cn1) C(=O) O ,7.4,,https://doi.org/10.1016/j.jphotochem.2007.01.005,,halogeneted,Halogenated organics
109,Tobramycin ,5.13,32986-56-4 ,NC[C@H]1O[C@H] (O[C@H]2[C@H] (O)[C@@H] ···O ,7,,https://doi.org/10.1021/acs.est.5b05234,,halogeneted,Halogenated organics
110,diuron ,5.46,330-54-1 ,CN(C)C(=O) Nc1ccc (Cl)c(Cl)c1 ,8.51,,https://doi.org/10.1021/es3030808,,cyclo,Aromatic & PAHs
111,isoproturon ,6.0,34123-59-6 ,CC(C)c1ccc (NC(=O) N(C)C) cc1 ,8.51,,https://doi.org/10.1021/es3030808,,cyclo,Aromatic & PAHs
112,Acetochlor ,5.72,34256-82-1 ,CCOCN(C(=O) CCl) c1c(C)cccc1CC ,8.51,,https://doi.org/10.1021/es3030808,,alcohol,Oxygenated organics
113,Dithiothreitol ,6.18,3483/12/3,O[C@@H] (CS)[C@@H] (O)CS ,7.4,,https://doi.org/10.1016/1011-1344(91)80008-6,,"sulfide, disulfide",Sulfur-containing organics
114,Diethylsulfide ,7.26,352-93-2 ,CCSCC ,7,,https://doi.org/10.1016/0045-6535(87)90004-X,,"sulfide, disulfide",Sulfur-containing organics
115,cis-3-hexenyl ,6.59,3681-71-8 ,CC/C=C\CCOC(C)=O ,5.1,,https://doi.org/10.1021/es503656m,,alcohol,Oxygenated organics
116,4-fluorophenol ,8.54,371-41-5 ,Oc1ccc(F)cc1 ,11,,https://doi.org/10.1139/v93-160,,alcohol,Oxygenated organics
117,Amikacin ,5.91,37517-28-5 ,NCC[C@H] ···[C@@H] (O)[C@H] (N)[C@H]1O ,7,,https://doi.org/10.1021/acs.est.5b05234,,halogeneted,Halogenated organics
118,glycyl-tyrosine ,7.28,39630-46-1 ,NCC(=O) N[C@@H] (Cc1ccc(O)cc1) C(=O) OO ,7,,https://doi.org/10.1016/1011-1344(91)80212-Z,,halogeneted,Halogenated organics
119,Penciclovir ,6.41,39809-25-1 ,Nc1nc2c(ncn2CCC(CO)CO) c(=O) [nH]1 ,5,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
120,Penciclovir ,6.6,39809-25-1 ,Nc1nc2c(ncn2CCC(CO)CO) c(=O) [nH]1 ,7,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
121,Penciclovir ,7.18,39809-25-1 ,Nc1nc2c(ncn2CCC(CO)CO) c(=O) [nH]1 ,9,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
122,Penciclovir ,7.4,39809-25-1 ,Nc1nc2c(ncn2CCC(CO)CO) c(=O) [nH]1 ,10,,https://doi.org/10.1002/etc.3238,,halogeneted,Halogenated organics
123,MethyI jasmonate ,6.78,39924-52-2 ,CC/C=C/C[C@@H]1C(=O) CC[C@H]1CC(=O) OC ,5.1,,https://doi.org/10.1021/es503656m,,alcohol,Oxygenated organics
124,"7,8-dihydrofolic acid ",8.72,4033-27-6 ,Nc1nc2c(c(=O) [nH]1) N=C···(CCC(=O) O) C(=O) O) cc1) CN2 ,7,,https://doi.org/10.1021/jp071278h,,cyclo,Aromatic & PAHs
125,"2-dimethylamino-5,6- dimethylpyrimidin-4-ol",7.64,40778-16-3,Cc1nc(N(C)C) [nH]c(=O) c1C ,4,,https://doi.org/10.1002/ps.2780140415,,cyclo,Aromatic & PAHs
126,"2-dimethylamino-5,6- dimethylpyrimidin-4-ol",7.91,40778-16-3,Cc1nc(N(C)C) [nH]c(=O) c1C ,7,,https://doi.org/10.1002/ps.2780140415,,cyclo,Aromatic & PAHs
127,"2-dimethylamino-5,6- dimethylpyrimidin-4-ol",8.15,40778-16-3,Cc1nc(N(C)C) [nH]c(=O) c1C ,9,,https://doi.org/10.1002/ps.2780140415,,cyclo,Aromatic & PAHs
128,sinapaldehyde ,7.26,4206-58-0 ,COc1cc(/C=C/C=O) cc (OC)c1O ,5,,https://doi.org/10.1016/j.watres.2023.120586,,alcohol,Oxygenated organics
129,genistein ,7.55,446-72-0 ,O=c1c(-c2ccc(O)cc2) coc2cc(O)cc(O)c12 ,5,,https://doi.org/10.1021/es300041f,,alcohol,Oxygenated organics
130,genistein ,7.49,446-72-0 ,O=c1c(-c2ccc(O)cc2) coc2cc(O)cc(O)c12 ,7,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
131,genistein ,7.51,446-72-0 ,O=c1c(-c2ccc(O)cc2) coc2cc(O)cc(O)c12 ,8,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
132,genistein ,8.04,446-72-0 ,O=c1c(-c2ccc(O)cc2) coc2cc(O)cc(O)c12 ,10,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
133,capsanthin ,9.66,465-42-9 ,CC1=C···(O)CC2(C)C) C(C)(C) C[C@@H] (O)C1 ,7.4,,https://doi.org/10.1021/acs.jafc.6b04329,,cyclo,Aromatic & PAHs
134,astaxanthin ,9.85,472-61-7 ,CC1=C···C[C@H] (O)C1=O ,7.4,,https://doi.org/10.1021/acs.jafc.6b04329,,cyclo,Aromatic & PAHs
135,β-cryptoxanthin ,9.64,472-70-8 ,CC1=C(/C=C/C(C)···(O)CC2(C)C) C(C)(C) CCC1 ,7.4,,https://doi.org/10.1021/acs.jafc.6b04329,,cyclo,Aromatic & PAHs
136,Microcystin HtyR ,7.98,478001-08-0 ,[H]/N=C(\N) NCCC···[C@H] (C(=O) O) NC1=O ,11.6,,https://doi.org/10.1021/acs.est.1c04194,,halogeneted,Halogenated organics
137,4-methoxy-indole ,8.14,4837-90-5 ,COc1cccc2[nH]ccc12 ,6,,https://doi.org/10.1039/b203359c,,alcohol,Oxygenated organics
138,diadzein ,7.26,486-66-8 ,O=c1c(-c2ccc(O)cc2) coc2cc(O)ccc12 ,5,,https://doi.org/10.1021/es300041f,,alcohol,Oxygenated organics
139,biochanin A ,7.23,491-80-5 ,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O) cc1 ,7,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
140,biochanin A ,7.83,491-80-5 ,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O) cc1 ,8,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
141,biochanin A ,7.95,491-80-5 ,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O) cc1 ,10,,https://doi.org/10.1021/es301205a,,alcohol,Oxygenated organics
142,ascorbic acid ,8.15,50-81-7 ,O=C1O[C@H] ([C@@H] (O)CO) C(O)=C1O ,7.4,,https://doi.org/10.1016/j.jphotochem.2004.03.029,,diol,Polyfunctional / highly functionalized
143,ascorbic acid ,7.46,50-81-7 ,O=C1O[C@H] ([C@@H] (O)CO) C(O)=C1O ,3.56,,https://doi.org/10.1016/j.jphotochem.2004.03.029,,diol,Polyfunctional / highly functionalized
144,benzimidazole ,6.4,51-17-2 ,c1ccc2[nH]cnc2c1 ,6,,https://doi.org/10.1016/j.chemosphere.2006.02.057,,cyclo,Aromatic & PAHs
145,Metolachlor ,5.64,51218-45-2 ,CCc1cccc(C)c1N(C(=O) CCl) [C@@H] (C)COC ,8.51,,https://doi.org/10.1021/es3030808,,alcohol,Oxygenated organics
146,histamine ,7.94,51-45-6 ,NCCc1cnc[nH]1 ,7.7,,https://doi.org/10.1071/EN17155,,halogeneted,Halogenated organics
147,histamine ,7.45,51-45-6 ,NCCc1cnc[nH]1 ,7.1,,https://doi.org/10.1111/j.1751-1097.1978.tb06973.x,,halogeneted,Halogenated organics
